ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-03-25,7.878901906411655,-2.0856210310341825,15.924305873071885,7.878901906411655,7.878901906411655,-0.7648483799177167,-0.7648483799177167,-0.7648483799177167,-0.16328355908762052,-0.16328355908762052,-0.16328355908762052,-0.6015648208300962,-0.6015648208300962,-0.6015648208300962,0.0,0.0,0.0,7.114053526493938
2010-03-26,7.892481691607461,-1.6675126714036592,15.961368164996085,7.892481691607461,7.892481691607461,-0.74330268642303,-0.74330268642303,-0.74330268642303,-0.2303207640965242,-0.2303207640965242,-0.2303207640965242,-0.5129819223265056,-0.5129819223265056,-0.5129819223265056,0.0,0.0,0.0,7.149179005184431
2010-03-29,7.933221047194884,-1.2413232836540389,16.666934983923124,7.933221047194884,7.933221047194884,-0.3588527639709048,-0.3588527639709048,-0.3588527639709048,-0.06976821796295986,-0.06976821796295986,-0.06976821796295986,-0.28908454600794503,-0.28908454600794503,-0.28908454600794503,0.0,0.0,0.0,7.574368283223979
2010-03-30,7.94680083239069,-1.5891801869073,15.510377359600161,7.94680083239069,7.94680083239069,-0.39393671611454034,-0.39393671611454034,-0.39393671611454034,-0.16578344534348388,-0.16578344534348388,-0.16578344534348388,-0.22815327077105654,-0.22815327077105654,-0.22815327077105654,0.0,0.0,0.0,7.55286411627615
2010-03-31,7.960380617586498,-1.5198968918414535,16.34933165364642,7.960380617586498,7.960380617586498,-0.29887498489146563,-0.29887498489146563,-0.29887498489146563,-0.125386039146067,-0.125386039146067,-0.125386039146067,-0.1734889457453986,-0.1734889457453986,-0.1734889457453986,0.0,0.0,0.0,7.661505632695032
2010-04-01,7.973960402782306,-1.276503151354433,16.39891121558443,7.973960402782306,7.973960402782306,-0.2878110938681818,-0.2878110938681818,-0.2878110938681818,-0.1632835590874328,-0.1632835590874328,-0.1632835590874328,-0.12452753478074902,-0.12452753478074902,-0.12452753478074902,0.0,0.0,0.0,7.686149308914124
2010-04-05,8.028279543565535,-0.8002456797779343,17.029258359750493,8.028279543565535,8.028279543565535,-0.041615022828767785,-0.041615022828767785,-0.041615022828767785,-0.06976821796383276,-0.06976821796383276,-0.06976821796383276,0.02815319513506496,0.02815319513506496,0.02815319513506496,0.0,0.0,0.0,7.986664520736768
2010-04-06,8.041859328761342,-0.8790394977752094,16.864856036705547,8.041859328761342,8.041859328761342,-0.10664033733937363,-0.10664033733937363,-0.10664033733937363,-0.1657834453437052,-0.1657834453437052,-0.1657834453437052,0.05914310800433156,0.05914310800433156,0.05914310800433156,0.0,0.0,0.0,7.935218991421968
2010-04-07,8.05543911395715,-0.5592573889030081,16.346854816992103,8.05543911395715,8.05543911395715,-0.03681289383086262,-0.03681289383086262,-0.03681289383086262,-0.12538603914612886,-0.12538603914612886,-0.12538603914612886,0.08857314531526624,0.08857314531526624,0.08857314531526624,0.0,0.0,0.0,8.018626220126286
2010-04-08,8.069018899152956,-0.792587367351735,17.01400256823235,8.069018899152956,8.069018899152956,-0.04633370049421443,-0.04633370049421443,-0.04633370049421443,-0.1632835590871738,-0.1632835590871738,-0.1632835590871738,0.11694985859295937,0.11694985859295937,0.11694985859295937,0.0,0.0,0.0,8.022685198658742
